"","team_id","team","team_abbr","wins","losses","points_for","points_against","logo"
"1",30,"Switzerland","SUI",4,5,51,54,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Civil_Ensign_of_Switzerland.svg/800px-Civil_Ensign_of_Switzerland.svg.png"
"2",159,"Denmark","DEN",1,8,36,71,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/800px-Flag_of_Denmark.svg.png"
"3",184,"Norway","NOR",4,5,58,53,"https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/800px-Flag_of_Norway.svg.png"
"4",348,"Italy","ITA",3,6,59,65,"https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/1024px-Flag_of_Italy.svg.png"
"5",445,"Sweden","SWE",7,2,64,44,"https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Flag_of_Sweden.svg/1920px-Flag_of_Sweden.svg.png"
"6",566,"Canada","CAN",5,4,58,50,"https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/1920px-Flag_of_Canada_%28Pantone%29.svg.png"
"7",573,"Great Britain","GBR",8,1,63,44,"https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/1280px-Flag_of_the_United_Kingdom.svg.png"
"8",781,"United States","USA",5,4,56,61,"https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/1920px-Flag_of_the_United_States.svg.png"
"9",1156,"China","CHN",4,5,59,62,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/800px-Flag_of_the_People%27s_Republic_of_China.svg.png"
"10",64183,"ROC","ROC",4,5,58,58,"https://upload.wikimedia.org/wikipedia/commons/4/48/ROC_flag_%282021_NWSCh%29.png"
